domain	phylum	class	order	family	genus	species	tax_id	tax_level	CRR125950_0.5.bracken_num	CRR125950_0.5.bracken_frac	CRR125950_0.90.bracken_num	CRR125950_0.90.bracken_frac	CRR125950_0.95.bracken_num	CRR125950_0.95.bracken_frac	CRR125950_0.99.bracken_num	CRR125950_0.99.bracken_frac	CRR125950_0.bracken_num	CRR125950_0.bracken_frac	CRR125950_1.bracken_num	CRR125950_1.bracken_frac
Bacteria	Cyanobacteria	NA	Oscillatoriales	Gomontiellaceae	Crinalium	Crinalium epipsammum	241425	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	4	0.00009	0	0.00000
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium paxllaeri	190148	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2	0.00005	0	0.00000
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium sp. T16E-39	2015076	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00002	0	0.00000
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Parageobacillus	Parageobacillus genomosp. 1	1295642	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2	0.00005	0	0.00000
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sp. wkB8	1545702	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00002	0	0.00000
Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces platensis	58346	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00002	0	0.00000
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	Polaribacter sp. Hel1_33_78	1336804	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00002	0	0.00000
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium sp. No. 7	1714373	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	7	0.00016	0	0.00000
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Herbinix	Herbinix luporum	1679721	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00002	0	0.00000
Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Pedobacter sp. G11	2482728	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00002	0	0.00000
